BusinessArea;CompanyCode;Department;Division;Employee;Employee_Desc;Fulltime;FutureLeader;Gender;HasLeft;ImpactofLoss;Job_Desc;Location;Location_ID;Manager;Manager_Desc;Married;NewToPosition;PayGrade;Performance;Latitude;Longitude;StandardWeeklyHours;Workingdaysperweek;Salary_AVG_Var;Age;Seniority;Salary
Business Area A;NA Corp.;E000928;DIV09;E000928;Wu, Ladonna;TRUE;TRUE;Female;n;very high impact;Business Ops Professionals;Bangalore;India;E300121;Lauzon, Charyl;FALSE;FALSE;GR-7;Progressing;13.2;77.71;40;5;-0.72;55;1;31343
Business Area A;NA Corp.;E014311;DIV09;E014311;Imani, Alex;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E300121;Lauzon, Charyl;TRUE;FALSE;GR-9;Satisfactory;39.87;-75.25;40;5;-0.39;36;1;67538
Business Area A;NA Corp.;E023704;DIV09;E023704;Banks, Amanda;TRUE;TRUE;Female;y;very high impact;Business Ops Professionals;Philadelphia;REG0001;E300121;Lauzon, Charyl;FALSE;FALSE;GR-9;Progressing;39.87;-75.25;40;5;-0.34;36;5;87058
Business Area A;NA Corp.;E027174;DIV03;E027174;Roche, Raoul;TRUE;#;Male;n;medium impact;Business Ops Professionals;Paris;France;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Successful;48.86;2.35;40;5;-0.21;58;1;87342
Business Area A;NA Corp.;E034854;DIV04;E034854;Ho, Ariel;TRUE;TRUE;Male;n;very high impact;Business Ops Professionals;Paris;France;E095280;Michligk, Kearney;FALSE;FALSE;GR-9;Successful;48.86;2.35;40;5;-0.4;54;2;65829
Business Area A;NA Corp.;E049529;DIV02;E049529;Peruzzi, Constantine;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Outstanding;-33.93;151.17;40;5;0.13;63;2;124063
Business Area A;NA Corp.;E054607;DIV02;E054607;Johnston, Dru;TRUE;#;Male;n;medium impact;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-10;Extraordinary;37.62;-122.38;40;5;0.24;63;2;136260
Business Area A;NA Corp.;E061217;DIV03;E061217;Chang, Isac;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Outstanding;-33.93;151.17;40;5;0.55;36;2;170481
Business Area A;NA Corp.;E069921;DIV09;E050934;Daniau, Carol;TRUE;#;Male;y;medium impact;Business Ops Professionals;Philadelphia;REG0001;E300121;Lauzon, Charyl;FALSE;FALSE;GR-9;Insufficient;39.87;-75.25;40;5;-0.25;42;5;98416
Business Area A;NA Corp.;E079106;DIV03;E079106;Goodman, Israel;TRUE;#;Male;n;medium impact;Business Ops Professionals;Paris;France;E237930;Alpizar, Josh;FALSE;FALSE;GR-16;Outstanding;48.86;2.35;40;5;1.37;34;1;260625
Business Area A;NA Corp.;E087682;DIV03;E087682;Yeung, Hillie;TRUE;#;Male;n;very high impact;Business Ops Professionals;Frankfurt;Germany;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Satisfactory;50.03;8.57;40;5;0.3;46;5;143137
Business Area A;NA Corp.;E119589;DIV03;E119589;Liao, Eric;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;TRUE;FALSE;GR-9;Extraordinary;39.87;-75.25;40;5;-0.23;32;5;84346
Business Area A;NA Corp.;E125990;DIV02;E125990;Anderson, Francois;TRUE;#;Male;n;medium impact;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;FALSE;GR-10;Satisfactory;50.03;8.57;40;5;-0.34;31;5;72607
Business Area A;NA Corp.;E127660;DIV09;E127660;Zhao, Frank;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E300121;Lauzon, Charyl;FALSE;FALSE;GR-9;Satisfactory;37.62;-122.38;40;5;-0.21;66;5;86590
Business Area A;NA Corp.;E129568;DIV03;E129568;Wu, Frolin;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-9;Progressing;-33.93;151.17;40;5;0.07;45;5;118003
Business Area A;NA Corp.;E131047;DIV02;E131047;Tsai, Tisha;TRUE;TRUE;Female;n;medium impact;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Satisfactory;37.62;-122.38;40;5;-0.17;30;5;91534
Business Area A;NA Corp.;E132557;DIV09;E132557;Sokhan, Geoff;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E300121;Lauzon, Charyl;FALSE;FALSE;GR-9;Insufficient;39.87;-75.25;40;5;-0.28;30;5;78963
Business Area A;NA Corp.;E134573;DIV02;E134573;PIERRE, Frederic;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-8;Satisfactory;37.62;-122.38;40;5;-0.21;27;5;87310
Business Area A;NA Corp.;E141936;DIV02;E141936;Huang, Eric;TRUE;#;Male;n;medium impact;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;FALSE;GR-12;Extraordinary;50.03;8.57;40;5;-0.17;47;5;90845
Business Area A;NA Corp.;E143815;DIV03;E143815;Wang, Darryl;TRUE;#;Female;y;very high impact;Business Ops Professionals;San Francisco;REG0004;E237930;Alpizar, Josh;FALSE;FALSE;GR-6;Satisfactory;37.62;-122.38;40;5;-0.58;30;4;54176
